English-sentence,ISL-GLOSS
there are many animals in zoo,THERE ZOO IN ANIMALS MANY  
Cat is apet animal,CAT  APET ANIMAL
dog is a pet animal,DOG  PET ANIMAL
birds fly in sky,BIRDS SKY FLY  
i go to bathroom ,I  BATHROOM GO  
i brush  my teeth, MY TEETH BRUSH  
she broke her teeth ,HER  TEETH  BROKE 
sleep well ,SLEEP WELL 
he will comb his hair,HIS HAIR  COMB WILL 
there is sun light in room,ROOM IN SUN  LIGHT 
can you click my picture,CLICK PICTURE
clean yourTeeth, YOUR TEETH CLEAN 
clean the floor,FLOOR CLEAN 
this is a wooden comb ,THIS COMB  WOODEN 
this is a wooden house,THIS WOODEN HOUSE
plants need carbon dioxide to survive,PLANTS CARBON DIOXODE SURVIVE
He is going to sleep water.,HE SLEEP WATER
He is going to sleep bed.,HE SLEEP BED
They is going to drink bed.,THEY DRINK BED
We is going to run school.,WE RUN SCHOOL
We is going to sleep school.,WE SLEEP SCHOOL
She is going to read game.,SHE READ GAME
He is going to walk game.,HE WALK GAME
She is going to walk park.,SHE WALK PARK
I is going to walk letter.,I WALK LETTER
I is going to sleep water.,I SLEEP WATER
We is going to play bed.,WE PLAY BED
You is going to walk bed.,YOU WALK BED
I is going to read water.,I READ WATER
He is going to drink school.,HE DRINK SCHOOL
She is going to run game.,SHE RUN GAME
She is going to sleep park.,SHE SLEEP PARK
We is going to write water.,WE WRITE WATER
He is going to eat letter.,HE EAT LETTER
You is going to drink water.,YOU DRINK WATER
He is going to drink letter.,HE DRINK LETTER
She is going to sleep food.,SHE SLEEP FOOD
He is going to read food.,HE READ FOOD
They is going to drink food.,THEY DRINK FOOD
I is going to write park.,I WRITE PARK
They is going to walk water.,THEY WALK WATER
You is going to sleep school.,YOU SLEEP SCHOOL
We is going to run water.,WE RUN WATER
He is going to run letter.,HE RUN LETTER
You is going to walk letter.,YOU WALK LETTER
They is going to eat bed.,THEY EAT BED
We is going to walk food.,WE WALK FOOD
We is going to play water.,WE PLAY WATER
I is going to run letter.,I RUN LETTER
We is going to write book.,WE WRITE BOOK
We is going to write food.,WE WRITE FOOD
You is going to run bed.,YOU RUN BED
He is going to sleep park.,HE SLEEP PARK
You is going to walk food.,YOU WALK FOOD
I is going to write book.,I WRITE BOOK
I is going to sleep book.,I SLEEP BOOK
We is going to eat bed.,WE EAT BED
You is going to walk water.,YOU WALK WATER
I is going to play letter.,I PLAY LETTER
You is going to drink water.,YOU DRINK WATER
You is going to sleep food.,YOU SLEEP FOOD
They is going to read school.,THEY READ SCHOOL
She is going to run school.,SHE RUN SCHOOL
You is going to walk water.,YOU WALK WATER
They is going to read food.,THEY READ FOOD
He is going to walk game.,HE WALK GAME
They is going to eat food.,THEY EAT FOOD
He is going to walk game.,HE WALK GAME
We is going to read food.,WE READ FOOD
He is going to drink water.,HE DRINK WATER
I is going to sleep park.,I SLEEP PARK
They is going to walk letter.,THEY WALK LETTER
He is going to drink bed.,HE DRINK BED
He is going to eat park.,HE EAT PARK
They is going to write park.,THEY WRITE PARK
We is going to play letter.,WE PLAY LETTER
They is going to eat park.,THEY EAT PARK
She is going to read water.,SHE READ WATER
He is going to run bed.,HE RUN BED
They is going to run book.,THEY RUN BOOK
They is going to read park.,THEY READ PARK
I is going to eat game.,I EAT GAME
We is going to run school.,WE RUN SCHOOL
I is going to run game.,I RUN GAME
You is going to write food.,YOU WRITE FOOD
He is going to eat letter.,HE EAT LETTER
They is going to run park.,THEY RUN PARK
I is going to eat game.,I EAT GAME
They is going to drink water.,THEY DRINK WATER
We is going to drink game.,WE DRINK GAME
I is going to walk book.,I WALK BOOK
He is going to sleep food.,HE SLEEP FOOD
We is going to eat bed.,WE EAT BED
You is going to play school.,YOU PLAY SCHOOL
I is going to drink food.,I DRINK FOOD
They is going to sleep school.,THEY SLEEP SCHOOL
I is going to walk school.,I WALK SCHOOL
You is going to eat park.,YOU EAT PARK
You is going to play letter.,YOU PLAY LETTER
He is going to drink food.,HE DRINK FOOD
They is going to read book.,THEY READ BOOK
You is going to sleep bed.,YOU SLEEP BED
I is going to run book.,I RUN BOOK
We is going to walk water.,WE WALK WATER
I is going to sleep game.,I SLEEP GAME
He is going to sleep food.,HE SLEEP FOOD
I is going to eat game.,I EAT GAME
They is going to write book.,THEY WRITE BOOK
She is going to sleep school.,SHE SLEEP SCHOOL
He is going to read bed.,HE READ BED
They is going to run game.,THEY RUN GAME
I is going to play bed.,I PLAY BED
They is going to walk school.,THEY WALK SCHOOL
We is going to write bed.,WE WRITE BED
I is going to read school.,I READ SCHOOL
You is going to eat park.,YOU EAT PARK
He is going to play game.,HE PLAY GAME
They is going to eat school.,THEY EAT SCHOOL
We is going to play game.,WE PLAY GAME
I is going to eat letter.,I EAT LETTER
I is going to read park.,I READ PARK
She is going to write school.,SHE WRITE SCHOOL
I is going to sleep park.,I SLEEP PARK
They is going to run bed.,THEY RUN BED
She is going to sleep letter.,SHE SLEEP LETTER
I is going to eat school.,I EAT SCHOOL
He is going to drink bed.,HE DRINK BED
I is going to walk water.,I WALK WATER
They is going to run school.,THEY RUN SCHOOL
They is going to run book.,THEY RUN BOOK
You is going to play water.,YOU PLAY WATER
We is going to walk food.,WE WALK FOOD
They is going to play park.,THEY PLAY PARK
I is going to drink water.,I DRINK WATER
We is going to eat water.,WE EAT WATER
You is going to eat bed.,YOU EAT BED
She is going to read water.,SHE READ WATER
He is going to walk water.,HE WALK WATER
They is going to play food.,THEY PLAY FOOD
I is going to run food.,I RUN FOOD
He is going to eat water.,HE EAT WATER
We is going to eat food.,WE EAT FOOD
They is going to read game.,THEY READ GAME
They is going to write school.,THEY WRITE SCHOOL
She is going to read water.,SHE READ WATER
He is going to eat food.,HE EAT FOOD
We is going to walk bed.,WE WALK BED
He is going to drink food.,HE DRINK FOOD
They is going to play book.,THEY PLAY BOOK
You is going to read game.,YOU READ GAME
We is going to read book.,WE READ BOOK
They is going to drink park.,THEY DRINK PARK
We is going to walk letter.,WE WALK LETTER
We is going to write school.,WE WRITE SCHOOL
She is going to play book.,SHE PLAY BOOK
You is going to eat water.,YOU EAT WATER
You is going to run letter.,YOU RUN LETTER
I is going to walk food.,I WALK FOOD
We is going to read book.,WE READ BOOK
We is going to sleep school.,WE SLEEP SCHOOL
You is going to play book.,YOU PLAY BOOK
They is going to run school.,THEY RUN SCHOOL
They is going to run bed.,THEY RUN BED
I is going to read school.,I READ SCHOOL
They is going to sleep water.,THEY SLEEP WATER
We is going to read food.,WE READ FOOD
He is going to run bed.,HE RUN BED
He is going to walk park.,HE WALK PARK
We is going to sleep letter.,WE SLEEP LETTER
He is going to write book.,HE WRITE BOOK
They is going to run letter.,THEY RUN LETTER
We is going to read letter.,WE READ LETTER
She is going to eat school.,SHE EAT SCHOOL
We is going to walk letter.,WE WALK LETTER
I is going to eat water.,I EAT WATER
We is going to drink school.,WE DRINK SCHOOL
We is going to play water.,WE PLAY WATER
She is going to walk school.,SHE WALK SCHOOL
I is going to walk water.,I WALK WATER
They is going to eat water.,THEY EAT WATER
I is going to sleep food.,I SLEEP FOOD
You is going to play letter.,YOU PLAY LETTER
She is going to sleep game.,SHE SLEEP GAME
We is going to drink school.,WE DRINK SCHOOL
She is going to walk park.,SHE WALK PARK
We is going to sleep letter.,WE SLEEP LETTER
He is going to run park.,HE RUN PARK
He is going to walk food.,HE WALK FOOD
They is going to walk park.,THEY WALK PARK
She is going to write food.,SHE WRITE FOOD
We is going to read park.,WE READ PARK
He is going to read letter.,HE READ LETTER
You is going to run park.,YOU RUN PARK
I is going to play game.,I PLAY GAME
They is going to run park.,THEY RUN PARK
They is going to drink letter.,THEY DRINK LETTER
She is going to read park.,SHE READ PARK
They is going to eat bed.,THEY EAT BED
We is going to sleep food.,WE SLEEP FOOD
We is going to read game.,WE READ GAME
You is going to play park.,YOU PLAY PARK
You is going to play game.,YOU PLAY GAME
You is going to run game.,YOU RUN GAME
You is going to drink letter.,YOU DRINK LETTER
I is going to read letter.,I READ LETTER
They is going to walk book.,THEY WALK BOOK
He is going to walk letter.,HE WALK LETTER
You is going to run school.,YOU RUN SCHOOL
I is going to run water.,I RUN WATER
We is going to read school.,WE READ SCHOOL
They is going to walk bed.,THEY WALK BED
We is going to drink food.,WE DRINK FOOD
You is going to write school.,YOU WRITE SCHOOL
She is going to play food.,SHE PLAY FOOD
He is going to sleep book.,HE SLEEP BOOK
She is going to walk book.,SHE WALK BOOK
I is going to walk game.,I WALK GAME
They is going to run water.,THEY RUN WATER
We is going to eat water.,WE EAT WATER
I is going to run book.,I RUN BOOK
You is going to read park.,YOU READ PARK
We is going to write bed.,WE WRITE BED
He is going to walk park.,HE WALK PARK
She is going to read water.,SHE READ WATER
She is going to run game.,SHE RUN GAME
I is going to sleep letter.,I SLEEP LETTER
He is going to read water.,HE READ WATER
I is going to read letter.,I READ LETTER
She is going to play school.,SHE PLAY SCHOOL
He is going to walk park.,HE WALK PARK
She is going to walk school.,SHE WALK SCHOOL
He is going to eat school.,HE EAT SCHOOL
We is going to write game.,WE WRITE GAME
She is going to eat bed.,SHE EAT BED
You is going to read water.,YOU READ WATER
You is going to drink bed.,YOU DRINK BED
You is going to eat letter.,YOU EAT LETTER
We is going to play book.,WE PLAY BOOK
He is going to read water.,HE READ WATER
He is going to eat bed.,HE EAT BED
She is going to play food.,SHE PLAY FOOD
We is going to read water.,WE READ WATER
They is going to write letter.,THEY WRITE LETTER
You is going to play park.,YOU PLAY PARK
She is going to walk game.,SHE WALK GAME
We is going to walk water.,WE WALK WATER
We is going to play book.,WE PLAY BOOK
They is going to write letter.,THEY WRITE LETTER
I is going to play park.,I PLAY PARK
I is going to sleep letter.,I SLEEP LETTER
We is going to read game.,WE READ GAME
I is going to run water.,I RUN WATER
They is going to drink school.,THEY DRINK SCHOOL
You is going to read school.,YOU READ SCHOOL
They is going to drink water.,THEY DRINK WATER
He is going to drink park.,HE DRINK PARK
I is going to run food.,I RUN FOOD
He is going to sleep game.,HE SLEEP GAME
He is going to run letter.,HE RUN LETTER
You is going to write bed.,YOU WRITE BED
She is going to write food.,SHE WRITE FOOD
We is going to read park.,WE READ PARK
He is going to run park.,HE RUN PARK
He is going to walk book.,HE WALK BOOK
He is going to play book.,HE PLAY BOOK
I is going to read food.,I READ FOOD
I is going to write bed.,I WRITE BED
I is going to walk park.,I WALK PARK
He is going to sleep school.,HE SLEEP SCHOOL
She is going to drink school.,SHE DRINK SCHOOL
You is going to play food.,YOU PLAY FOOD
You is going to eat park.,YOU EAT PARK
You is going to walk game.,YOU WALK GAME
We is going to drink book.,WE DRINK BOOK
I is going to sleep game.,I SLEEP GAME
He is going to eat food.,HE EAT FOOD
He is going to eat school.,HE EAT SCHOOL
We is going to sleep school.,WE SLEEP SCHOOL
They is going to write game.,THEY WRITE GAME
They is going to sleep food.,THEY SLEEP FOOD
He is going to sleep park.,HE SLEEP PARK
We is going to drink water.,WE DRINK WATER
She is going to run bed.,SHE RUN BED
She is going to read bed.,SHE READ BED
They is going to drink book.,THEY DRINK BOOK
We is going to write water.,WE WRITE WATER
She is going to sleep food.,SHE SLEEP FOOD
He is going to eat game.,HE EAT GAME
She is going to drink water.,SHE DRINK WATER
They is going to run letter.,THEY RUN LETTER
You is going to drink letter.,YOU DRINK LETTER
I is going to read bed.,I READ BED
They is going to read letter.,THEY READ LETTER
He is going to play game.,HE PLAY GAME
They is going to drink game.,THEY DRINK GAME
They is going to run water.,THEY RUN WATER
She is going to drink school.,SHE DRINK SCHOOL
She is going to drink book.,SHE DRINK BOOK
He is going to sleep game.,HE SLEEP GAME
She is going to walk game.,SHE WALK GAME
We is going to run school.,WE RUN SCHOOL
He is going to write game.,HE WRITE GAME
He is going to run school.,HE RUN SCHOOL
We is going to read bed.,WE READ BED
You is going to play bed.,YOU PLAY BED
You is going to drink book.,YOU DRINK BOOK
She is going to read book.,SHE READ BOOK
He is going to write food.,HE WRITE FOOD
You is going to drink water.,YOU DRINK WATER
I is going to drink game.,I DRINK GAME
I is going to walk food.,I WALK FOOD
We is going to sleep school.,WE SLEEP SCHOOL
He is going to read food.,HE READ FOOD
You is going to eat bed.,YOU EAT BED
She is going to run park.,SHE RUN PARK
You is going to write bed.,YOU WRITE BED
You is going to sleep water.,YOU SLEEP WATER
You is going to walk bed.,YOU WALK BED
We is going to run book.,WE RUN BOOK
I is going to sleep school.,I SLEEP SCHOOL
I is going to play book.,I PLAY BOOK
I is going to run food.,I RUN FOOD
She is going to eat book.,SHE EAT BOOK
He is going to run school.,HE RUN SCHOOL
They is going to write bed.,THEY WRITE BED
You is going to play food.,YOU PLAY FOOD
They is going to play letter.,THEY PLAY LETTER
They is going to drink book.,THEY DRINK BOOK
They is going to drink book.,THEY DRINK BOOK
She is going to run game.,SHE RUN GAME
He is going to read letter.,HE READ LETTER
You is going to sleep food.,YOU SLEEP FOOD
He is going to sleep school.,HE SLEEP SCHOOL
They is going to walk game.,THEY WALK GAME
I is going to write school.,I WRITE SCHOOL
I is going to drink park.,I DRINK PARK
She is going to drink park.,SHE DRINK PARK
I is going to sleep park.,I SLEEP PARK
I is going to write bed.,I WRITE BED
He is going to walk school.,HE WALK SCHOOL
They is going to drink book.,THEY DRINK BOOK
He is going to eat school.,HE EAT SCHOOL
She is going to run bed.,SHE RUN BED
You is going to write school.,YOU WRITE SCHOOL
They is going to eat food.,THEY EAT FOOD
We is going to drink bed.,WE DRINK BED
You is going to drink school.,YOU DRINK SCHOOL
He is going to drink book.,HE DRINK BOOK
He is going to write park.,HE WRITE PARK
You is going to walk park.,YOU WALK PARK
She is going to eat game.,SHE EAT GAME
I is going to walk school.,I WALK SCHOOL
We is going to write food.,WE WRITE FOOD
You is going to walk bed.,YOU WALK BED
They is going to drink book.,THEY DRINK BOOK
She is going to sleep school.,SHE SLEEP SCHOOL
He is going to eat school.,HE EAT SCHOOL
They is going to write book.,THEY WRITE BOOK
We is going to sleep food.,WE SLEEP FOOD
We is going to read bed.,WE READ BED
She is going to read food.,SHE READ FOOD
I is going to walk water.,I WALK WATER
She is going to read food.,SHE READ FOOD
She is going to walk park.,SHE WALK PARK
He is going to walk book.,HE WALK BOOK
He is going to read water.,HE READ WATER
I is going to run letter.,I RUN LETTER
We is going to sleep food.,WE SLEEP FOOD
He is going to run bed.,HE RUN BED
She is going to run park.,SHE RUN PARK
You is going to run book.,YOU RUN BOOK
She is going to eat book.,SHE EAT BOOK
He is going to read letter.,HE READ LETTER
She is going to play letter.,SHE PLAY LETTER
They is going to run letter.,THEY RUN LETTER
They is going to run game.,THEY RUN GAME
He is going to write park.,HE WRITE PARK
I is going to write water.,I WRITE WATER
He is going to walk book.,HE WALK BOOK
We is going to run letter.,WE RUN LETTER
They is going to drink bed.,THEY DRINK BED
They is going to walk school.,THEY WALK SCHOOL
They is going to run game.,THEY RUN GAME
You is going to walk food.,YOU WALK FOOD
He is going to drink food.,HE DRINK FOOD
She is going to drink school.,SHE DRINK SCHOOL
You is going to run water.,YOU RUN WATER
We is going to run park.,WE RUN PARK
You is going to play bed.,YOU PLAY BED
He is going to walk water.,HE WALK WATER
You is going to sleep food.,YOU SLEEP FOOD
They is going to walk bed.,THEY WALK BED
He is going to run school.,HE RUN SCHOOL
We is going to write book.,WE WRITE BOOK
I is going to read school.,I READ SCHOOL
She is going to play park.,SHE PLAY PARK
We is going to play park.,WE PLAY PARK
They is going to sleep game.,THEY SLEEP GAME
I is going to read park.,I READ PARK
I is going to read park.,I READ PARK
She is going to write water.,SHE WRITE WATER
He is going to play letter.,HE PLAY LETTER
He is going to play food.,HE PLAY FOOD
She is going to drink book.,SHE DRINK BOOK
You is going to read school.,YOU READ SCHOOL
He is going to walk letter.,HE WALK LETTER
I is going to eat food.,I EAT FOOD
I is going to walk book.,I WALK BOOK
He is going to drink letter.,HE DRINK LETTER
I is going to play game.,I PLAY GAME
He is going to run food.,HE RUN FOOD
We is going to play game.,WE PLAY GAME
You is going to walk bed.,YOU WALK BED
You is going to run game.,YOU RUN GAME
I is going to sleep park.,I SLEEP PARK
She is going to read school.,SHE READ SCHOOL
We is going to eat book.,WE EAT BOOK
You is going to sleep park.,YOU SLEEP PARK
We is going to drink school.,WE DRINK SCHOOL
They is going to play book.,THEY PLAY BOOK
They is going to play book.,THEY PLAY BOOK
They is going to play park.,THEY PLAY PARK
She is going to read letter.,SHE READ LETTER
She is going to read letter.,SHE READ LETTER
I is going to run food.,I RUN FOOD
She is going to play letter.,SHE PLAY LETTER
He is going to eat letter.,HE EAT LETTER
He is going to eat school.,HE EAT SCHOOL
We is going to walk food.,WE WALK FOOD
We is going to read book.,WE READ BOOK
We is going to read school.,WE READ SCHOOL
She is going to eat school.,SHE EAT SCHOOL
We is going to run bed.,WE RUN BED
They is going to eat school.,THEY EAT SCHOOL
I is going to run book.,I RUN BOOK
She is going to sleep school.,SHE SLEEP SCHOOL
I is going to walk book.,I WALK BOOK
You is going to eat game.,YOU EAT GAME
He is going to drink game.,HE DRINK GAME
We is going to sleep park.,WE SLEEP PARK
She is going to play water.,SHE PLAY WATER
She is going to walk bed.,SHE WALK BED
We is going to walk park.,WE WALK PARK
You is going to walk water.,YOU WALK WATER
We is going to walk water.,WE WALK WATER
You is going to drink game.,YOU DRINK GAME
He is going to eat park.,HE EAT PARK
He is going to walk book.,HE WALK BOOK
They is going to run water.,THEY RUN WATER
She is going to eat game.,SHE EAT GAME
You is going to walk letter.,YOU WALK LETTER
I is going to read park.,I READ PARK
They is going to sleep bed.,THEY SLEEP BED
We is going to drink book.,WE DRINK BOOK
We is going to drink game.,WE DRINK GAME
We is going to drink school.,WE DRINK SCHOOL
She is going to read park.,SHE READ PARK
She is going to sleep book.,SHE SLEEP BOOK
He is going to drink food.,HE DRINK FOOD
I is going to eat food.,I EAT FOOD
You is going to walk water.,YOU WALK WATER
She is going to run food.,SHE RUN FOOD
She is going to sleep school.,SHE SLEEP SCHOOL
He is going to walk water.,HE WALK WATER
He is going to read book.,HE READ BOOK
They is going to read book.,THEY READ BOOK
You is going to drink food.,YOU DRINK FOOD
I is going to play park.,I PLAY PARK
He is going to walk school.,HE WALK SCHOOL
I is going to write letter.,I WRITE LETTER
She is going to run letter.,SHE RUN LETTER
He is going to eat book.,HE EAT BOOK
I is going to eat school.,I EAT SCHOOL
We is going to write school.,WE WRITE SCHOOL
He is going to sleep food.,HE SLEEP FOOD
He is going to drink letter.,HE DRINK LETTER
He is going to run school.,HE RUN SCHOOL
She is going to eat park.,SHE EAT PARK
She is going to run book.,SHE RUN BOOK
He is going to read school.,HE READ SCHOOL
She is going to write park.,SHE WRITE PARK
He is going to write game.,HE WRITE GAME
They is going to run bed.,THEY RUN BED
She is going to read bed.,SHE READ BED
I is going to run letter.,I RUN LETTER
We is going to walk park.,WE WALK PARK
We is going to write game.,WE WRITE GAME
She is going to walk book.,SHE WALK BOOK
We is going to walk water.,WE WALK WATER
You is going to play park.,YOU PLAY PARK
I is going to walk water.,I WALK WATER
He is going to sleep water.,HE SLEEP WATER
You is going to drink book.,YOU DRINK BOOK
I is going to eat park.,I EAT PARK
You is going to walk school.,YOU WALK SCHOOL
You is going to write letter.,YOU WRITE LETTER
